ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2016-05-10,1301,139,0,0
2016-05-12,890,107,0,0
2016-04-20,1315,125,0,0
2016-04-21,1402,38,0,0
2016-04-22,1354,86,0,0
2016-05-11,713,49,0,0
2016-04-15,992,448,0,0
2016-05-10,1067,373,0,0
2016-05-11,1121,319,0,0
2016-04-12,1160,280,0,0
2016-04-22,1234,206,0,0
2016-04-29,1038,402,0,0
2016-05-06,855,177,0,0
2016-04-13,1090,350,0,0
2016-04-15,1112,328,0,0
2016-04-16,1182,258,0,0
2016-04-19,1119,321,0,0
2016-04-20,1182,258,0,0
2016-04-30,1116,324,0,0
2016-05-04,1168,272,0,0
2016-04-16,1087,305,1,47
2016-04-15,1052,281,1,106
2016-04-17,1105,322,2,11
2016-04-26,1083,333,2,22
2016-04-25,1180,249,3,8
2016-05-03,1189,229,3,19
2016-04-30,1119,300,4,17
2016-04-20,1035,378,5,22
2016-04-23,1077,330,5,28
2016-05-06,1065,370,5,0
2016-05-09,1099,303,6,32
2016-05-03,1070,363,6,1
2016-04-23,1032,300,6,102
2016-04-18,1214,202,7,17
2016-04-25,1101,218,8,113
2016-04-21,1037,376,9,18
2016-04-21,1057,371,10,2
2016-05-05,1341,81,12,6
2016-04-27,1057,346,13,24
2016-05-07,1139,243,17,41
2016-04-20,1201,216,18,5
2016-05-10,1254,155,19,12
2016-04-30,1167,248,20,5
2016-04-17,1276,127,22,15
2016-04-30,1182,224,23,11
2016-04-14,1039,370,25,6
